task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
107	16/458575	164352	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38198053)	CACHED	0	2026-05-01 12:25:42.816	6m 41s	4m 51s	209.6%	4.3 GB	51.5 GB	3.8 GB	4.1 GB
106	57/418591	164351	APHL_GAS:GAS:FASTP (SRR38198053)	CACHED	0	2026-05-01 12:25:42.784	2m 35s	1m 29s	107.1%	1.3 GB	1.9 GB	299.3 MB	231.7 MB
109	82/54dd6d	164470	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38198053)	CACHED	0	2026-05-01 12:35:50.896	13.5s	8s	264.7%	80.1 MB	2.7 GB	194.4 MB	5.9 MB
108	5f/e95ba7	164471	APHL_GAS:GAS:EMM_MLST:MLST (SRR38198053)	CACHED	0	2026-05-01 12:35:53.422	5.9s	2s	59.3%	145.6 MB	205.8 MB	6.3 MB	2.7 MB
110	20/38a170	164472	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38198053)	CACHED	0	2026-05-01 12:35:55.346	9.1s	1.9s	1730.8%	56.2 MB	14.9 GB	19.6 MB	2.9 KB
111	34/288a10	164353	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287117)	CACHED	0	2026-05-01 12:25:44.655	6m 21s	3m 35s	188.5%	1.8 GB	51.1 GB	1.5 GB	1.3 GB
112	0f/c0fdc0	164354	APHL_GAS:GAS:FASTP (SRR38287117)	CACHED	0	2026-05-01 12:25:44.676	2m 48s	54.8s	113.0%	1.2 GB	1.8 GB	111.7 MB	58.5 MB
113	bc/db6b07	164456	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287117)	CACHED	0	2026-05-01 12:34:39.207	12.7s	7.4s	287.5%	80.3 MB	2.7 GB	194.1 MB	5.8 MB
115	e0/b4014f	164455	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287117)	CACHED	0	2026-05-01 12:34:36.382	5.7s	2.3s	1351.2%	160.4 MB	15 GB	19.6 MB	2.5 KB
114	6a/373bd9	164457	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287117)	CACHED	0	2026-05-01 12:34:41.624	5.3s	1.6s	47.5%	154.9 MB	289.7 MB	6.3 MB	2.7 MB
117	27/b8ba67	164355	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38198052)	CACHED	0	2026-05-01 12:25:49.866	6m 16s	4m 10s	239.0%	3.9 GB	51.5 GB	2.1 GB	1.9 GB
119	94/8ed68c	164460	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38198052)	CACHED	0	2026-05-01 12:34:49.953	11.9s	7.3s	296.0%	79.8 MB	2.7 GB	195.2 MB	5.9 MB
118	db/248b35	164458	APHL_GAS:GAS:EMM_MLST:MLST (SRR38198052)	CACHED	0	2026-05-01 12:34:43.851	8.2s	2.3s	42.4%	36.5 MB	45 MB	6.4 MB	2.7 MB
116	d8/4764d5	164356	APHL_GAS:GAS:FASTP (SRR38198052)	CACHED	0	2026-05-01 12:25:49.884	2m 53s	1m	117.6%	1.3 GB	1.9 GB	139.5 MB	84.4 MB
120	12/7c232f	164459	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38198052)	CACHED	0	2026-05-01 12:34:46.098	6s	1.9s	1596.2%	55.5 MB	14.9 GB	19.6 MB	2.6 KB
122	bc/d1d8f4	164357	APHL_GAS:GAS:FASTP (SRR38287116)	CACHED	0	2026-05-01 12:25:56.745	2m 56s	1m 8s	131.3%	1.3 GB	1.9 GB	250.6 MB	186.9 MB
121	7b/2076b7	164358	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287116)	CACHED	0	2026-05-01 12:25:56.768	8m 9s	5m 46s	184.8%	3.6 GB	51.5 GB	3.7 GB	3.8 GB
123	69/94c704	164488	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287116)	CACHED	0	2026-05-01 12:36:26.719	12.6s	6.9s	306.9%	79.9 MB	2.7 GB	195.4 MB	5.9 MB
124	66/8ffc23	164489	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287116)	CACHED	0	2026-05-01 12:36:28.437	11s	1.8s	53.8%	158.1 MB	221.4 MB	6.4 MB	2.7 MB
125	d2/1fbb38	164490	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287116)	CACHED	0	2026-05-01 12:36:30.418	9.1s	1.7s	1881.9%	3.6 MB	9.9 MB	19.6 MB	2.6 KB
126	9f/1da013	164360	APHL_GAS:GAS:FASTP (SRR38287107)	CACHED	0	2026-05-01 12:26:02.315	3m 34s	1m 5s	122.0%	1.3 GB	1.9 GB	222.3 MB	160.1 MB
127	5c/9304bf	164359	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287107)	CACHED	0	2026-05-01 12:26:02.291	7m 33s	5m 13s	199.6%	3.3 GB	51.1 GB	3.6 GB	3.6 GB
