task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
200	d4/ae3621	164509	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287110)	CACHED	0	2026-05-01 12:37:04.491	10s	1.7s	1891.1%	3.2 MB	5.7 MB	19.6 MB	3.4 KB
201	3e/cb0fe8	164402	APHL_GAS:GAS:EMM_MLST:SHOVILL (SRR38287111)	CACHED	0	2026-05-01 12:26:58.028	8m 46s	3m 34s	232.8%	2.6 GB	51.5 GB	2.3 GB	2.1 GB
202	42/e529fb	164401	APHL_GAS:GAS:FASTP (SRR38287111)	CACHED	0	2026-05-01 12:26:57.705	6m 18s	1m 6s	97.3%	1.3 GB	1.9 GB	139.2 MB	90.1 MB
203	52/ffcfa4	164510	APHL_GAS:GAS:EMM_MLST:MLST (SRR38287111)	CACHED	0	2026-05-01 12:37:06.059	8.5s	1.9s	61.9%	145.4 MB	205 MB	6.1 MB	2.5 MB
205	33/904041	164508	APHL_GAS:GAS:EMM_MLST:EMM_TYPER (SRR38287111)	CACHED	0	2026-05-01 12:37:03.141	6.1s	1.8s	1772.4%	55.6 MB	14.9 GB	19.5 MB	3 KB
208	f4/868ab4	164403	APHL_GAS:GAS:REJECTED_SAMPLES (1)	CACHED	0	2026-05-01 12:26:58.372	5m 22s	398ms	2.4%	2.9 MB	3.9 MB	77.7 KB	229 B
204	ec/1bb767	164511	APHL_GAS:GAS:EMM_MLST:QUAST (SRR38287111)	CACHED	0	2026-05-01 12:37:07.730	11.5s	6s	337.7%	80.4 MB	2.7 GB	193.2 MB	5.7 MB
206	d6/65c18e	164515	APHL_GAS:GAS:EMM_MLST:PARSNP	CACHED	0	2026-05-01 12:37:12.713	3m 12s	2m 55s	125.4%	1.1 GB	3.7 GB	448.1 MB	138.8 MB
207	2a/69e06d	164516	APHL_GAS:GAS:EMM_MLST:SKA2 (SKA alignment)	CACHED	0	2026-05-01 12:37:13.968	41.2s	24.4s	66.0%	862 MB	1 GB	214.8 MB	160.6 MB
211	36/40ff9b	164518	APHL_GAS:GAS:EMM_MLST:PARSE_PARSNP_ALIGNER_LOG	CACHED	0	2026-05-01 12:40:25.422	3.8s	318ms	96.7%	11.7 MB	44.1 MB	8.6 MB	2.9 KB
210	d3/0ac23b	164520	APHL_GAS:GAS:EMM_MLST:SNPDISTS	CACHED	0	2026-05-01 12:40:25.480	3.8s	190ms	103.1%	6.6 MB	34 MB	2.2 MB	12.2 KB
212	9a/a51a6a	164519	APHL_GAS:GAS:EMM_MLST:REMOVE_REFERENCE	CACHED	0	2026-05-01 12:40:25.464	18.8s	1s	5349.3%	13.7 MB	19.3 MB	9.2 MB	2.1 MB
215	bd/9f6124	164523	APHL_GAS:GAS:EMM_MLST:COMPARE_IO	CACHED	0	2026-05-01 12:40:29.296	5s	288ms	97.6%	12.1 MB	44.6 MB	8.6 MB	866 B
213	da/9b6650	164522	APHL_GAS:GAS:EMM_MLST:SKA (1)	CACHED	0	2026-05-01 12:40:25.514	8m 54s	8m 47s	615.3%	314.7 MB	7.6 GB	39.3 MB	38.3 MB
214	9d/caf441	164521	APHL_GAS:GAS:EMM_MLST:PAR (1)	CACHED	0	2026-05-01 12:40:25.497	9m 4s	8m 58s	624.6%	223.1 MB	7.6 GB	2.3 MB	2.2 MB
209	6f/819daa	164517	APHL_GAS:GAS:EMM_MLST:QUAST_SUMMARY	CACHED	0	2026-05-01 12:37:27.766	31.5s	3.6s	13.5%	62.4 MB	249.9 MB	8.4 MB	1.5 KB
